profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Eli Kinney-Lang,https://profiles.ucalgary.ca/eli-kinney-lang,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C4046035 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Eli Kinney-Lang,https://profiles.ucalgary.ca/eli-kinney-lang,pediatric brain-computer interfaces (bcis),pediatric brain-computer interfaces bcis,Pediatric Obesity | Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,brain computer interfaces,MTH,C2362324 | C0006107 | C0270611 | C0006118 | C0006111,yes,Pediatric Obesity | Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,pediatric brain-computer interfaces (bcis),Pediatric Brain Computer Interfaces Bcis,
Elizabeth Condliffe,https://profiles.ucalgary.ca/elizabeth-condliffe,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
Elizabeth Condliffe,https://profiles.ucalgary.ca/elizabeth-condliffe,movement impairment,movement impairment,Movement Disorders | Abnormal movement | Spasmodic movement | Impaired health | hearing impairment,movement impairment,MTH,C0026650 | C0558189 | C1704276 | C0684336 | C1384666,yes,Movement Disorders | Abnormal movement | Spasmodic movement | Impaired health | hearing impairment,movement impairment,Movement Impairment,Movement Impairment
Elizabeth Condliffe,https://profiles.ucalgary.ca/elizabeth-condliffe,robotic rehabilitation,robotic rehabilitation,Rehabilitation therapy | Vocational rehabilitation | Cardiac rehabilitation | Alcohol rehabilitation | Robotic Surgical Procedures,robotic rehabilitation,MTH | MSH,C0034991 | C0034996 | C0700431 | C0204598 | C3850136,yes,Rehabilitation therapy | Vocational rehabilitation | Cardiac rehabilitation | Alcohol rehabilitation | Robotic Surgical Procedures,robotic rehabilitation,Robotic Rehabilitation,Robotic Rehabilitation
Elizabeth Condliffe,https://profiles.ucalgary.ca/elizabeth-condliffe,brain stimulation,brain stimulation,Deep Brain Stimulation | Electrical Stimulation of the Brain | Brain stimulation | Direct brain stimulation,brain stimulation,MTH | MSH | SNOMEDCT_US,C0394162 | C0302825 | C0870227 | C0555354,yes,Deep Brain Stimulation | Electrical Stimulation of the Brain | Brain stimulation | Direct brain stimulation,Brain stimulation,Brain Stimulation,Brain Stimulation
Eloise Carr,https://profiles.ucalgary.ca/eloise-carr,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,complex trauma and mental health issues,complex trauma and mental health issues,Most important mental health issue to address,mental health issues,MTH,C4520939,yes,Most important mental health issue to address,Most important mental health issue to address,Mental Health Issue,Mental Health Issue
Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,complex trauma,complex trauma,Premature Cardiac Complex | Carney Complex | Trauma | Physical trauma | Traumatic injury,,MTH,C0340464 | C0406810 | C3714660 | C1368081 | C3263723,yes,Premature Cardiac Complex | Carney Complex | Trauma | Physical trauma | Traumatic injury,complex trauma,Complex Trauma,Complex Trauma
Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,mental health issues,mental health issues,mental health | Personal Health Issues | Sexual Health Issues | Mental health treatment | Nursing Health Issues Reference Set | Finding related to health insurance issues,mental health issues | mental health | health issues,MTH | SNOMEDCT_US,C0025353 | C2362508 | C2362503 | C0184647 | C4518311 | C1636784,yes,mental health | Personal Health Issues | Sexual Health Issues | Mental health treatment | Nursing Health Issues Reference Set | Finding related to health insurance issues,mental health,Mental Health,Mental Health
Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,doctorate of philosophy in clinical psychology,doctorate of philosophy in clinical psychology,Doctor of Philosophy,doctorate philosophy,MTH,C1512022,yes,Doctor of Philosophy,Doctor of Philosophy,Doctor Of Philosophy,Doctor Of Philosophy
Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,trauma informed services at hull services,trauma informed services at hull services,Trauma | Physical trauma | Traumatic injury | Informed consent obtained | Craniocerebral Trauma,,MTH | MSH,C3714660 | C1368081 | C3263723 | C0514044 | C0018674,yes,Trauma | Physical trauma | Traumatic injury | Informed consent obtained | Craniocerebral Trauma,trauma informed services at hull services,Trauma Informed Services At Hull Services,
Emily Wang,https://profiles.ucalgary.ca/emily-wang-0,appointed fellow of the neurosequential model network,appointed fellow of the neurosequential model network,,,,,no,appointed fellow of the neurosequential model network,appointed fellow of the neurosequential model network,Appointed Fellow Of The Neurosequential Model Network,
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,mental health,mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,mental illness,mental illness,Mental disorders,mental illness,MTH,C0004936,yes,Mental disorders,mental illness,Mental Illness,Mental Illness
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,skillsets lie in the field of network neuroscience,skillsets lie in the field of network neuroscience,,,,,no,skillsets lie in the field of network neuroscience,skillsets lie in the field of network neuroscience,Skillsets Lie In The Field Of Network Neuroscience,
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,genes within the cell,genes within the cell,egress of virus within host cell,within cell,MTH,C1160691,yes,egress of virus within host cell,egress of virus within host cell,Within Cell,Within Cell
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,network neuroscience offers powerful mathematical frameworks,network neuroscience offers powerful mathematical frameworks,,,,,no,network neuroscience offers powerful mathematical frameworks,network neuroscience offers powerful mathematical frameworks,Network Neuroscience Offers Powerful Mathematical Frameworks,
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,studies of brain networks across different species,studies of brain networks across different species,,,,,no,studies of brain networks across different species,studies of brain networks across different species,Studies Of Brain Networks Across Different Species,
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,be used to describe various disorders,be used to describe various disorders,Easy to describe thoughts &or feelings | Difficult to describe thoughts &or feelings | various allergen extracts | various antiseptic throat preparations | Iron in various other combinations,,MTH,C5575251 | C5575253 | C3540765 | C3540766 | C3540767,yes,Easy to describe thoughts &or feelings | Difficult to describe thoughts &or feelings | various allergen extracts | various antiseptic throat preparations | Iron in various other combinations,Easy to describe thoughts &or feelings,Describe,Describe
Emma Towlson,https://profiles.ucalgary.ca/emma-towlson,diseases in the human brain,diseases in the human brain,"brain-derived neurotrophic factor, human | human brain RI | DZIP brain protein, human | brain-specific protein D2, human",diseases human | human brain,MTH | MSH,C3486709 | C0257306 | C1528001 | C1505601,yes,"brain-derived neurotrophic factor, human | human brain RI | DZIP brain protein, human | brain-specific protein D2, human",human brain RI,Human Brain,Human Brain
Erica Makarenko,https://profiles.ucalgary.ca/erica-makarenko,developmental psychopathology,developmental psychopathology,"Developmental Disabilities | Developmental delay | Reading Disorder, Developmental | Developmental Coordination Disorder",,MTH,C0008073 | C0424605 | C0920296 | C0011757,yes,"Developmental Disabilities | Developmental delay | Reading Disorder, Developmental | Developmental Coordination Disorder",developmental psychopathology,Developmental Psychopathology,Developmental Psychopathology
Erica Makarenko,https://profiles.ucalgary.ca/erica-makarenko,cognitive developmental psychology,cognitive developmental psychology,Cognitive developmental delay | Borderline cognitive developmental delay,cognitive developmental | developmental psychology,SNOMEDCT_US,C1959866 | C3531748,yes,Cognitive developmental delay | Borderline cognitive developmental delay,Cognitive developmental delay,Cognitive Developmental,Cognitive Developmental
Erica Makarenko,https://profiles.ucalgary.ca/erica-makarenko,youth mental health,youth mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Erica Makarenko,https://profiles.ucalgary.ca/erica-makarenko,attention deficit disorder,attention deficit disorder,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,attention deficit disorder | attention deficit | deficit disorder,MTH,C0041671 | C1263846 | C0004269,yes,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,Attention Deficit Disorder,Attention Deficit Disorder,Attention Deficit Disorder
Eric Chan,https://profiles.ucalgary.ca/eric-chan,psychiatric rating scales,psychiatric rating scales,Psychiatric Status Rating Scales | Brief Psychiatric Rating Scale | Brief psychiatric rating scale - 1962,psychiatric rating scales | psychiatric rating | rating scales,MSH | SNOMEDCT_US,C0033871 | C0029941 | C0561907,yes,Psychiatric Status Rating Scales | Brief Psychiatric Rating Scale | Brief psychiatric rating scale - 1962,Psychiatric Status Rating Scales,Psychiatric Rating Scales,Psychiatric Rating Scales
Eric Chan,https://profiles.ucalgary.ca/eric-chan,e-mental health,e-mental health,mental health | Mental health treatment,e-mental health | e mental health | e mental | mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Eric Chan,https://profiles.ucalgary.ca/eric-chan,bipolar disorder,bipolar disorder,Bipolar Disorder | Bipolar Disorder Type 2 | Bipolar I disorder | Organic bipolar disorder | Mild bipolar disorder,bipolar disorder,MTH | MSH | SNOMEDCT_US,C0005586 | C0236788 | C0853193 | C0338653 | C0270419,yes,Bipolar Disorder | Bipolar Disorder Type 2 | Bipolar I disorder | Organic bipolar disorder | Mild bipolar disorder,Bipolar Disorder,Bipolar Disorder,Bipolar Disorder
Eric Chan,https://profiles.ucalgary.ca/eric-chan,depression,depression,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",depression,MTH | MSH,C0011570 | C0011581 | C0011579 | C0221074,yes,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",Mental Depression,Mental Depression,Mental Depression
Eric Chan,https://profiles.ucalgary.ca/eric-chan,emergency psychiatry,emergency psychiatry,Emergency Care | emergency tracheostomy | Hypertensive emergency,,MTH,C1527398 | C0498305 | C0745136,yes,Emergency Care | emergency tracheostomy | Hypertensive emergency,emergency psychiatry,Emergency Psychiatry,Emergency Psychiatry
Eric Chan,https://profiles.ucalgary.ca/eric-chan,mood disorders,mood disorders,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,mood disorders,MSH | SNOMEDCT_US | MTH,C0525045 | C0086640 | C0029232 | C0005586,yes,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,Mood Disorders,Mood Disorders,Mood Disorders
Eric Smith,https://profiles.ucalgary.ca/eric-smith,dementia,dementia,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",dementia,MTH | MSH,C0497327 | C0011265 | C0011268 | C0011263 | C0011269,yes,"Dementia | Presenile dementia | Senile dementia | Multi-infarct dementia | Dementia, Vascular",Dementia,Dementia,Dementia
Eric Smith,https://profiles.ucalgary.ca/eric-smith,cognitive disorders,cognitive disorders,Cognition Disorders | Postoperative Cognitive Disorders | Impaired cognition | Memory Disorders,cognitive disorders,MTH | MSH,C0009241 | C5691260 | C0338656 | C0025261,yes,Cognition Disorders | Postoperative Cognitive Disorders | Impaired cognition | Memory Disorders,Postoperative Cognitive Disorders,Cognitive Disorders,Cognitive Disorders
Eric Smith,https://profiles.ucalgary.ca/eric-smith,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Eric Smith,https://profiles.ucalgary.ca/eric-smith,stroke,stroke,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,stroke,MTH | MSH,C0018843 | C0948008 | C5234922 | C0262469,yes,Heat Stroke | Ischemic stroke | Hemorrhagic Stroke | Embolic Stroke,Heat Stroke,Stroke,Stroke
Fady Girgis,https://profiles.ucalgary.ca/fady-girgis,movement disorders,movement disorders,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",movement disorders,MTH | MSH,C0026650 | C0477355 | C0038273 | C0752298,yes,"Movement Disorders | Extrapyramidal and movement disorders | Stereotypic Movement Disorder | Movement Disorders, Rhythmic Nocturnal",Movement Disorders,Movement Disorders,Movement Disorders
Fady Girgis,https://profiles.ucalgary.ca/fady-girgis,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
Fady Girgis,https://profiles.ucalgary.ca/fady-girgis,human intracranial cognitive neurophysiology,human intracranial cognitive neurophysiology,"insulin, regular, human | albumin human, USP | Human Bite | Intracranial Hemorrhage | Intracranial Hypertension",,MTH,C0795635 | C0304925 | C0005660 | C0151699 | C0151740,yes,"insulin, regular, human | albumin human, USP | Human Bite | Intracranial Hemorrhage | Intracranial Hypertension",human intracranial cognitive neurophysiology,Human Intracranial Cognitive Neurophysiology,Human Intracranial Cognitive Neurophysiology
Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C4046035 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Inductive Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,computer vision,computer vision,Computer software | Computer simulation | Blurred vision | Low Vision | Vision Disorders,computer vision,MTH,C0037585 | C0009609 | C0344232 | C0042798 | C0042790,yes,Computer software | Computer simulation | Blurred vision | Low Vision | Vision Disorders,computer vision,Computer Vision,Computer Vision
Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,computational neuroscience,computational neuroscience,Computational Modelling | Computational Technique,,MTH,C5544479 | C1516769,yes,Computational Modelling | Computational Technique,computational neuroscience,Computational Neuroscience,Computational Neuroscience
Farhad Maleki,https://profiles.ucalgary.ca/farhad-maleki,biomedical data analysis,biomedical data analysis,Computer data analysis | Eye Movement Data Analysis,data analysis,MTH | MSH,C0677062 | C5392847,yes,Computer data analysis | Eye Movement Data Analysis,Computer data analysis,Computer Data Analysis,Computer Data Analysis
Farnaz Amoozegar,https://profiles.ucalgary.ca/farnaz-amoozegar,pain,pain,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,pain,MTH,C0030193 | C0008031 | C0004604 | C0024031 | C0000737,yes,Pain | Chest Pain | Back Pain | Low Back Pain | Abdominal Pain,Pain,Pain,Pain
Farnaz Amoozegar,https://profiles.ucalgary.ca/farnaz-amoozegar,migraine,migraine,Migraine Disorders | Common Migraine | Abdominal Migraine | Ophthalmoplegic Migraine | Hemiplegic migraine,migraine,MTH | MSH | SNOMEDCT_US,C0149931 | C0338480 | C0270858 | C0221058 | C0270862,yes,Migraine Disorders | Common Migraine | Abdominal Migraine | Ophthalmoplegic Migraine | Hemiplegic migraine,Migraine Disorders,Migraine,Migraine
Farnaz Amoozegar,https://profiles.ucalgary.ca/farnaz-amoozegar,new therapeutics,new therapeutics,Therapeutic procedure,,MTH,C0087111,yes,Therapeutic procedure,new therapeutics,New Therapeutics,New Therapeutics
Farnaz Amoozegar,https://profiles.ucalgary.ca/farnaz-amoozegar,include new therapeutics,include new therapeutics,Therapeutic procedure,include new,MTH,C0087111,yes,Therapeutic procedure,include new therapeutics,Include New Therapeutics,Include New Therapeutics
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,multiple sclerosis,multiple sclerosis,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",multiple sclerosis,MTH | MSH | SNOMEDCT_US,C0026769 | C0393665 | C2586221 | C2585570,yes,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,visual pathways,visual pathways,Disorder of visual pathways | Traumatic injury of visual pathways,visual pathways,SNOMEDCT_US,C0155287 | C0161400,yes,Disorder of visual pathways | Traumatic injury of visual pathways,Disorder of visual pathways,Visual Pathways,Visual Pathways
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,central nervous system,central nervous system,Central Nervous System Stimulants | Central Nervous System Neoplasms | Central Nervous System Lymphoma | Central Nervous System Infection | Central nervous aspergilloma,central nervous system | central nervous,MTH | SNOMEDCT_US,C0002763 | C0085136 | C5886912 | C0007684 | C6062667,yes,Central Nervous System Stimulants | Central Nervous System Neoplasms | Central Nervous System Lymphoma | Central Nervous System Infection | Central nervous aspergilloma,Central Nervous System Neoplasms,Central Nervous System,Central Nervous System
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,joan allen investigatorship for vision research,joan allen investigatorship for vision research,Allen test | Allen picture test,,MTH,C0231664 | C1275990,yes,Allen test | Allen picture test,joan allen investigatorship for vision research,Joan Allen Investigatorship For Vision Research,
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,journal of neurology,journal of neurology,Journal | Journal Article | Journal Impact Factor | Introductory Journal Article,,MTH | MSH,C0162443 | C0282420 | C2350574 | C1956026,yes,Journal | Journal Article | Journal Impact Factor | Introductory Journal Article,journal of neurology,Journal Of Neurology,Journal Of Neurology
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,canadian neurological sciences federation,canadian neurological sciences federation,Canadian bluegrass pollen extract | Neurological Rehabilitation | Neurological observations,,MTH,C2940183 | C0204096 | C0422837,yes,Canadian bluegrass pollen extract | Neurological Rehabilitation | Neurological observations,canadian neurological sciences federation,Canadian Neurological Sciences Federation,Canadian Neurological Sciences Federation
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,north american neuro-ophthalmology society,north american neuro-ophthalmology society,"Neuro-ophthalmological procedure | Neuro-p24 protein, mouse | Neuro - Whipple's disease",,SNOMEDCT_US | MSH,C0521308 | C1434469 | C0455719,yes,"Neuro-ophthalmological procedure | Neuro-p24 protein, mouse | Neuro - Whipple's disease",north american neuro-ophthalmology society,North American Neuro Ophthalmology Society,
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,international women in multiple sclerosis network,international women in multiple sclerosis network,"Multiple Sclerosis | International travel | Multiple Myeloma | Multiple Pregnancy | Fractures, Multiple",,MTH,C0026769 | C4554677 | C0026764 | C0032989 | C0016655,yes,"Multiple Sclerosis | International travel | Multiple Myeloma | Multiple Pregnancy | Fractures, Multiple",Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis
Fiona Costello,https://profiles.ucalgary.ca/fiona-costello,in multiple sclerosis,in multiple sclerosis,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",in multiple sclerosis | multiple sclerosis,MTH | MSH | SNOMEDCT_US,C0026769 | C0393665 | C2586221 | C2585570,yes,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis
Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,brain stimulation,brain stimulation,Deep Brain Stimulation | Electrical Stimulation of the Brain | Brain stimulation | Direct brain stimulation,brain stimulation,MTH | MSH | SNOMEDCT_US,C0394162 | C0302825 | C0870227 | C0555354,yes,Deep Brain Stimulation | Electrical Stimulation of the Brain | Brain stimulation | Direct brain stimulation,Brain stimulation,Brain Stimulation,Brain Stimulation
Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,mental illness,mental illness,Mental disorders,mental illness,MTH,C0004936,yes,Mental disorders,mental illness,Mental Illness,Mental Illness
Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,neurodevelopmental disorders,neurodevelopmental disorders,Neurodevelopmental Disorders | Fetal neurodevelopmental disorder,neurodevelopmental disorders,MTH | SNOMEDCT_US,C1535926 | C1285381,yes,Neurodevelopmental Disorders | Fetal neurodevelopmental disorder,Neurodevelopmental Disorders,Neurodevelopmental Disorders,Neurodevelopmental Disorders
Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Frank MacMaster,https://profiles.ucalgary.ca/frank-macmaster,mental disorders,mental disorders,"Mental disorders | Preadult mental disorders | Mental Disorders, Severe | Organic Mental Disorders, Psychotic",mental disorders,MTH | MSH,C0004936 | C0809985 | C4046029 | C0029230,yes,"Mental disorders | Preadult mental disorders | Mental Disorders, Severe | Organic Mental Disorders, Psychotic",Mental disorders,Mental Disorders,Mental Disorders
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,conditions for a social,conditions for a social,Social context finding,conditions for a social | conditions social,SNOMEDCT_US,C1266850,yes,Social context finding,conditions for a social,Conditions For A Social,Conditions For A Social
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,when viewing instances of social debates,when viewing instances of social debates,Instance Identifier Data Type | Multiple-Instance Learning Algorithms | Eccentric viewing,,MTH | MSH | SNOMEDCT_US,C2987305 | C5940551 | C0422960,yes,Instance Identifier Data Type | Multiple-Instance Learning Algorithms | Eccentric viewing,when viewing instances of social debates,When Viewing Instances Of Social Debates,
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,health care),health care,mental health,health care,MTH,C0025353,yes,mental health,health care),Health Care,Health Care
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,public mental health (particularly canada,public mental health particularly canada,mental health | Mental Depression | Mental disorders | Mental Retardation | Mental Orientation,,MTH,C0025353 | C0011570 | C0004936 | C0025362 | C0029266,yes,mental health | Mental Depression | Mental disorders | Mental Retardation | Mental Orientation,mental health,Mental Health,Mental Health
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,adaptation problems of many émigré psychiatrists,adaptation problems of many migr psychiatrists,Emotional problems | Substance Abuse Problems | Learning problems | Social Problems | Environmental adaptation,,MTH | MSH | SNOMEDCT_US,C0677660 | C0740858 | C0851265 | C0037431 | C0178620,yes,Emotional problems | Substance Abuse Problems | Learning problems | Social Problems | Environmental adaptation,adaptation problems of many émigré psychiatrists,Adaptation Problems Of Many Migr Psychiatrists,
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,who could be classified as early “neuroscientists”,who could be classified as early neuroscientists,"Haematocele, female, not elsewhere classified | Inflammatory spondylopathies in diseases classified elsewhere | Sacroiliitis, not elsewhere classified in ICD10CM | Early menarche | Early satiety (finding)",,MTH,C0869281 | C0021396 | C0868862 | C0342548 | C0239233,yes,"Haematocele, female, not elsewhere classified | Inflammatory spondylopathies in diseases classified elsewhere | Sacroiliitis, not elsewhere classified in ICD10CM | Early menarche | Early satiety (finding)",who could be classified as early “neuroscientists”,Could Be Classified As Early Neuroscientists,
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,biomedical research,biomedical research,"Translational Research, Biomedical | Biomedical Research",biomedical research,MTH | MSH,C1519620 | C0005540,yes,"Translational Research, Biomedical | Biomedical Research",Biomedical Research,Biomedical Research,Biomedical Research
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,public health,public health,mental health,public health,MTH,C0025353,yes,mental health,public health,Public Health,Public Health
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,gender studies,gender studies,Gender Identity | Gender Dysphoria | Gender finding,,MTH | SNOMEDCT_US,C0017249 | C0686346 | C1287419,yes,Gender Identity | Gender Dysphoria | Gender finding,gender studies,Gender Studies,Gender Studies
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,history of psychiatry,history of psychiatry,History of admission to psychiatry department,history of psychiatry | history psychiatry,SNOMEDCT_US,C4759343,yes,History of admission to psychiatry department,History of admission to psychiatry department,History Of To Psychiatry Department,
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,pharmaceutical history,pharmaceutical history,Pharmaceutical Preparations | Pharmaceutical Preservatives | Pharmaceutical Excipient | Pharmaceutical Solutions | Medical History,,MTH,C0013227 | C0033086 | C0015237 | C0525069 | C0262926,yes,Pharmaceutical Preparations | Pharmaceutical Preservatives | Pharmaceutical Excipient | Pharmaceutical Solutions | Medical History,pharmaceutical history,Pharmaceutical History,Pharmaceutical History
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,clinical trials,clinical trials,"Clinical Trials | Clinical Trials, Monitoring | Clinical Trials Design | Clinical Trials, Phase II",clinical trials,MTH,C0008976 | C1516647 | C1516636 | C0282460,yes,"Clinical Trials | Clinical Trials, Monitoring | Clinical Trials Design | Clinical Trials, Phase II",Clinical Trials,Clinical Trials,Clinical Trials
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,cancer treatment,cancer treatment,Response to cancer treatment | Hormone treatment for cancer | PhenX measure - cancer treatment | Cancer treatment started | Hyperthermia treatment of cancer,cancer treatment,MTH | SNOMEDCT_US,C4522175 | C4760323 | C3165951 | C1273386 | C0203598,yes,Response to cancer treatment | Hormone treatment for cancer | PhenX measure - cancer treatment | Cancer treatment started | Hyperthermia treatment of cancer,Cancer treatment started,Cancer Treatment,Cancer Treatment
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,public health throughout modern history,public health throughout modern history,mental health | Team communication is maintained throughout care,,MTH,C0025353 | C5552467,yes,mental health | Team communication is maintained throughout care,public health throughout modern history,Public Health Throughout Modern History,
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,regulatory frameworks for pharmaceutical research,regulatory frameworks for pharmaceutical research,Regulatory documentation | Regulatory Submission | Pharmaceutical Preparations | Pharmaceutical Preservatives | Pharmaceutical Excipient,,MTH,C1301773 | C2347939 | C0013227 | C0033086 | C0015237,yes,Regulatory documentation | Regulatory Submission | Pharmaceutical Preparations | Pharmaceutical Preservatives | Pharmaceutical Excipient,regulatory frameworks for pharmaceutical research,Regulatory Frameworks For Pharmaceutical Research,
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,development in the period,development in the period,Pervasive Development Disorder | Psychosexual Development,development in the period | development period,MTH,C0524528 | C0033944,yes,Pervasive Development Disorder | Psychosexual Development,development in the period,Development In The Period,Development In The Period
Frank Stahnisch,https://profiles.ucalgary.ca/frank-stahnisch,authoritative discourse within iode public health initiatives,authoritative discourse within iode public health initiatives,,,,,no,authoritative discourse within iode public health initiatives,authoritative discourse within iode public health initiatives,Authoritative Discourse Within Iode Public Health Initiatives,
